TILE_I: 32, TILE_J: 512, TILE_K: 8 Perf: 91.9287 GFlops
TILE_I: 64, TILE_J: 64, TILE_K: 8 Perf: 91.0595 GFlops
TILE_I: 64, TILE_J: 64, TILE_K: 16 Perf: 91.7318 GFlops
TILE_I: 64, TILE_J: 128, TILE_K: 32 Perf: 93.0434 GFlops
TILE_I: 64, TILE_J: 256, TILE_K: 8 Perf: 93.9088 GFlops
TILE_I: 64, TILE_J: 256, TILE_K: 16 Perf: 94.1358 GFlops
TILE_I: 64, TILE_J: 512, TILE_K: 8 Perf: 97.5406 GFlops
TILE_I: 64, TILE_J: 512, TILE_K: 16 Perf: 93.3734 GFlops
TILE_I: 128, TILE_J: 64, TILE_K: 8 Perf: 92.9146 GFlops
TILE_I: 128, TILE_J: 128, TILE_K: 8 Perf: 91.3319 GFlops
TILE_I: 128, TILE_J: 256, TILE_K: 8 Perf: 96.0742 GFlops
TILE_I: 128, TILE_J: 256, TILE_K: 16 Perf: 97.7935 GFlops
TILE_I: 128, TILE_J: 512, TILE_K: 8 Perf: 100.288 GFlops
TILE_I: 128, TILE_J: 512, TILE_K: 16 Perf: 96.3953 GFlops
TILE_I: 128, TILE_J: 1024, TILE_K: 8 Perf: 90.0284 GFlops
TILE_I: 256, TILE_J: 256, TILE_K: 8 Perf: 98.0718 GFlops
TILE_I: 256, TILE_J: 256, TILE_K: 16 Perf: 99.7491 GFlops
TILE_I: 256, TILE_J: 512, TILE_K: 8 Perf: 101.195 GFlops
TILE_I: 256, TILE_J: 512, TILE_K: 16 Perf: 96.7278 GFlops
TILE_I: 256, TILE_J: 1024, TILE_K: 8 Perf: 90.1664 GFlops
TILE_I: 512, TILE_J: 512, TILE_K: 8 Perf: 100.561 GFlops
TILE_I: 512, TILE_J: 512, TILE_K: 16 Perf: 95.5969 GFlops
TILE_I: 512, TILE_J: 1024, TILE_K: 1024
TILE_I: 1024, TILE_J: 512, TILE_K: 1024
TILE_I: 1024, TILE_J: 1024, TILE_K: 8 Perf: 90.9953 GFlops
TILE_I: 1024, TILE_J: 1024, TILE_K: 512
TILE_I: 1024, TILE_J: 1024, TILE_K: 1024
